epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.664,0.73632,1.70364,1.28283,1.16461,0.89045,0.83053,0.91055,0.7276,0.90519,0.81971,0.90681,0.70289,0.70962,1.44737,0.92151,1.16764,0.00332741,0.00332741,0.00332741
2,256.82,0.72493,1.45999,0.82592,1.14153,0.90443,0.82469,0.89913,0.69382,0.89628,0.81671,0.88903,0.66754,0.78706,1.56389,0.83172,1.25047,0.0065948,0.0065948,0.0065948
3,382.732,0.79345,1.54722,0.77359,1.186,0.89037,0.80108,0.87893,0.64421,0.88555,0.79513,0.86938,0.605,0.90827,1.93722,0.82233,1.37177,0.0097962,0.0097962,0.0097962
4,506.012,0.82588,1.59916,0.73994,1.21669,0.89287,0.79637,0.88207,0.66307,0.88256,0.79487,0.87103,0.64923,0.84932,1.7126,0.73738,1.33278,0.009703,0.009703,0.009703
5,630.176,0.7991,1.57056,0.6944,1.2029,0.88831,0.84014,0.91089,0.71495,0.88535,0.83997,0.90774,0.69494,0.78806,1.56831,0.6403,1.24797,0.009604,0.009604,0.009604
6,757.041,0.77443,1.52683,0.66052,1.18678,0.90604,0.82285,0.90296,0.70697,0.91725,0.8125,0.89451,0.68067,0.78441,1.54444,0.62093,1.2665,0.009505,0.009505,0.009505
7,880.751,0.76272,1.50064,0.63483,1.17852,0.90535,0.82091,0.89607,0.6979,0.89209,0.80978,0.88136,0.66341,0.79449,1.60105,0.64306,1.27251,0.009406,0.009406,0.009406
8,1004.77,0.74959,1.47948,0.6121,1.16352,0.91055,0.84424,0.92041,0.73902,0.91055,0.84424,0.91686,0.71814,0.7306,1.43632,0.59849,1.19389,0.009307,0.009307,0.009307
9,1128.5,0.73445,1.44927,0.60668,1.1591,0.92048,0.84869,0.92202,0.75066,0.91613,0.84796,0.91749,0.71715,0.69103,1.40519,0.55267,1.1622,0.009208,0.009208,0.009208
10,1253.94,0.72058,1.42943,0.5903,1.15052,0.93077,0.84834,0.92661,0.76673,0.92747,0.84533,0.92123,0.73496,0.67321,1.41063,0.53685,1.13809,0.009109,0.009109,0.009109
